고객ID,성별,나이,가입채널,요금제,가입일,가입경과월,최근30일_로그인수,월평균사용시간,고객센터문의수,최근3개월_결제실패,이탈여부,이탈일
C1000,여,26,오프라인매장,스탠다드,2024-11-07,19,3,9.9,1,1,Y,2026-04-10
C1001,남,49,제휴이벤트,베이직,2025-06-07,11,18,9.7,1,0,N,
C1002,여,24,오프라인매장,스탠다드,2026-01-16,4,18,28.3,0,0,N,
C1003,여,35,지인추천,프리미엄,2024-07-23,22,4,3.8,1,0,Y,2024-12-26
C1004,남,31,소셜미디어,베이직,2024-07-14,22,13,6.7,2,0,N,
C1005,여,40,제휴이벤트,베이직,2025-08-09,9,13,14.9,0,0,N,
C1006,여,30,제휴이벤트,베이직,2026-03-11,2,3,8.0,1,0,Y,2026-04-20
C1007,여,35,소셜미디어,베이직,2026-01-23,4,10,23.7,1,0,N,
C1008,남,35,제휴이벤트,스탠다드,2025-08-10,9,14,13.0,0,1,N,
C1009,남,29,소셜미디어,프리미엄,2025-06-18,11,14,20.4,0,0,N,
C1010,남,44,제휴이벤트,프리미엄,2025-08-27,9,10,35.5,2,0,N,
C1011,여,41,제휴이벤트,스탠다드,2026-02-21,3,3,9.8,0,0,Y,2026-03-20
C1012,여,37,오프라인매장,베이직,2023-06-12,36,9,7.8,0,0,N,
C1013,여,33,검색광고,베이직,2025-02-16,15,6,30.9,0,0,N,
C1014,남,48,지인추천,베이직,2023-07-07,35,16,28.8,0,0,N,
C1015,남,35,검색광고,베이직,2025-02-04,16,11,29.5,0,0,N,
C1016,여,34,오프라인매장,프리미엄,2024-07-25,22,12,12.5,1,0,N,
C1017,남,39,소셜미디어,스탠다드,2024-04-20,25,9,8.7,0,0,N,
C1018,여,58,오프라인매장,베이직,2026-01-04,4,3,6.8,1,0,Y,2026-03-18
C1019,여,22,제휴이벤트,베이직,2025-06-25,11,11,21.4,1,0,N,
C1020,여,47,검색광고,베이직,2025-01-25,16,22,33.1,0,1,N,
C1021,남,19,소셜미디어,프리미엄,2025-12-26,5,3,2.6,1,3,Y,2026-02-21
C1022,여,41,지인추천,베이직,2023-09-13,33,14,20.0,1,0,N,
C1023,여,57,소셜미디어,베이직,2025-04-19,13,14,14.0,0,0,N,
C1024,여,44,검색광고,베이직,2023-11-14,30,11,36.1,1,0,N,
C1025,남,40,검색광고,프리미엄,2024-02-04,28,10,19.4,1,0,N,
C1026,남,31,소셜미디어,스탠다드,2023-12-15,29,12,29.5,0,0,N,
C1027,남,38,지인추천,스탠다드,2024-12-31,17,16,56.0,0,1,N,
C1028,남,35,지인추천,베이직,2025-03-31,14,13,13.1,1,0,N,
C1029,여,29,검색광고,베이직,2025-08-14,9,16,37.7,1,0,N,
C1030,여,35,소셜미디어,프리미엄,2024-09-12,20,10,13.6,0,0,N,
C1031,여,40,소셜미디어,베이직,2026-02-25,3,20,35.0,0,0,N,
C1032,남,29,소셜미디어,베이직,2024-07-02,23,13,35.4,2,0,N,
C1033,남,28,오프라인매장,스탠다드,2023-11-14,30,14,23.7,0,0,N,
C1034,남,22,소셜미디어,베이직,2023-07-09,35,15,13.0,1,0,N,
C1035,남,43,지인추천,베이직,2023-10-14,32,13,9.2,1,0,N,
C1036,남,45,제휴이벤트,프리미엄,2024-09-17,20,14,26.6,0,0,N,
C1037,남,41,지인추천,스탠다드,2024-08-13,21,3,10.2,1,0,Y,2026-04-28
C1038,남,50,지인추천,베이직,2025-11-26,6,8,37.6,0,1,N,
C1039,여,39,검색광고,베이직,2023-10-12,32,19,35.1,0,0,N,
C1040,남,43,검색광고,스탠다드,2024-03-06,27,14,17.2,0,0,N,
C1041,여,42,검색광고,베이직,2026-04-10,1,4,10.7,1,1,Y,2026-05-05
C1042,여,37,오프라인매장,베이직,2023-07-01,35,3,3.8,0,0,Y,2026-01-21
C1043,남,32,제휴이벤트,스탠다드,2024-08-25,21,7,17.3,0,0,N,
C1044,여,65,검색광고,스탠다드,2023-12-29,29,10,7.7,0,1,N,
C1045,여,33,검색광고,프리미엄,2024-12-20,17,18,14.2,0,0,N,
C1046,남,30,소셜미디어,베이직,2026-04-02,1,7,17.4,0,2,N,
C1047,남,43,지인추천,베이직,2024-01-28,28,11,45.1,0,0,N,
C1048,여,41,지인추천,스탠다드,2024-06-29,23,16,12.4,0,0,N,
C1049,남,21,오프라인매장,스탠다드,2024-09-21,20,13,18.4,1,0,N,
C1050,남,51,제휴이벤트,베이직,2025-09-28,8,11,11.3,0,0,N,
C1051,남,37,소셜미디어,스탠다드,2026-04-14,1,7,16.7,1,0,N,
C1052,여,25,오프라인매장,베이직,2023-09-11,33,10,23.7,0,0,N,
C1053,여,52,지인추천,프리미엄,2024-11-02,19,14,25.6,1,0,N,
C1054,여,46,소셜미디어,프리미엄,2025-08-10,9,12,15.6,0,0,N,
C1055,여,23,제휴이벤트,베이직,2023-06-10,36,2,5.4,0,0,Y,2026-05-23
C1056,남,59,검색광고,프리미엄,2025-10-06,7,13,3.1,1,0,N,
C1057,여,46,오프라인매장,프리미엄,2024-02-14,27,14,38.3,1,0,N,
C1058,남,38,오프라인매장,베이직,2024-12-04,18,10,15.0,0,0,N,
C1059,남,57,제휴이벤트,베이직,2026-04-08,1,2,2.1,0,0,Y,2026-05-04
C1060,여,40,지인추천,스탠다드,2025-04-07,13,8,33.5,1,0,N,
C1061,남,38,소셜미디어,베이직,2026-04-19,1,2,2.4,2,0,Y,2026-05-10
C1062,여,30,제휴이벤트,베이직,2025-03-04,15,12,33.5,0,2,N,
C1063,여,45,오프라인매장,베이직,2024-01-11,29,21,7.8,0,2,N,
C1064,여,44,지인추천,프리미엄,2025-06-07,11,10,8.8,1,0,N,
C1065,여,38,오프라인매장,베이직,2025-03-17,14,16,10.1,0,0,N,
C1066,여,29,소셜미디어,스탠다드,2024-04-26,25,11,14.3,1,1,N,
C1067,남,40,지인추천,베이직,2023-08-21,33,11,33.7,2,0,N,
C1068,남,37,제휴이벤트,베이직,2025-04-21,13,7,10.3,0,0,N,
C1069,남,22,소셜미디어,프리미엄,2025-02-04,16,10,23.6,0,0,N,
C1070,남,20,지인추천,베이직,2025-09-01,9,14,21.1,1,0,N,
C1071,남,45,제휴이벤트,베이직,2023-10-13,32,11,19.3,1,1,N,
C1072,여,19,오프라인매장,베이직,2024-12-25,17,15,30.6,0,0,N,
C1073,남,40,제휴이벤트,스탠다드,2025-10-19,7,5,8.0,1,0,Y,2026-05-24
C1074,남,32,소셜미디어,베이직,2026-01-05,4,10,20.9,1,0,N,
C1075,남,54,제휴이벤트,베이직,2026-02-25,3,4,10.7,0,0,Y,2026-04-13
C1076,남,32,검색광고,베이직,2024-01-12,29,21,14.6,0,0,N,
C1077,여,46,지인추천,베이직,2023-12-02,30,3,7.4,0,1,Y,2025-08-14
C1078,여,33,지인추천,베이직,2025-02-03,16,9,21.9,1,0,N,
C1079,여,39,오프라인매장,스탠다드,2024-10-05,20,13,29.2,0,0,N,
C1080,여,47,제휴이벤트,베이직,2024-02-05,28,10,17.3,0,0,N,
C1081,남,32,오프라인매장,베이직,2023-09-17,32,16,18.4,1,0,N,
C1082,여,50,지인추천,스탠다드,2023-10-31,31,10,23.4,2,0,N,
C1083,남,26,소셜미디어,스탠다드,2024-05-27,24,9,17.5,0,0,N,
C1084,남,42,지인추천,베이직,2025-07-27,10,17,12.6,0,0,N,
C1085,남,49,지인추천,베이직,2023-08-09,34,7,26.7,0,1,N,
C1086,여,46,검색광고,베이직,2023-09-21,32,16,20.2,1,0,N,
C1087,남,61,지인추천,프리미엄,2024-03-08,27,14,15.2,0,0,N,
C1088,남,29,제휴이벤트,베이직,2025-12-17,5,17,10.1,1,1,N,
C1089,여,21,오프라인매장,베이직,2026-04-20,1,3,2.4,1,1,Y,2026-05-10
C1090,남,26,오프라인매장,베이직,2024-09-11,20,4,24.0,1,0,N,
C1091,여,46,소셜미디어,베이직,2023-07-18,34,2,5.0,2,0,Y,2024-12-18
C1092,남,44,지인추천,베이직,2023-06-13,36,7,7.5,0,1,N,
C1093,남,39,검색광고,베이직,2025-12-01,6,13,11.6,1,0,N,
C1094,남,25,소셜미디어,스탠다드,2024-09-16,20,6,21.9,0,0,N,
C1095,여,47,지인추천,스탠다드,2023-08-22,33,16,12.4,1,0,N,
C1096,남,23,소셜미디어,스탠다드,2025-11-04,6,1,8.8,1,0,Y,2026-03-17
C1097,남,52,검색광고,스탠다드,2024-12-15,17,11,13.8,1,0,N,
C1098,남,69,오프라인매장,베이직,2024-06-07,24,3,7.4,0,1,Y,2025-07-03
C1099,여,42,소셜미디어,프리미엄,2024-09-24,20,13,19.3,1,0,N,
C1100,여,45,소셜미디어,스탠다드,2024-01-26,28,12,25.9,0,2,N,
C1101,여,32,검색광고,프리미엄,2026-02-17,3,18,26.3,1,0,N,
C1102,남,19,지인추천,스탠다드,2025-09-16,8,13,18.8,0,0,N,
C1103,여,31,소셜미디어,베이직,2023-12-29,29,13,11.0,0,0,N,
C1104,여,25,지인추천,베이직,2025-07-22,10,13,32.2,0,0,N,
C1105,여,21,지인추천,베이직,2023-12-09,30,10,15.0,0,0,N,
C1106,남,59,검색광고,베이직,2024-09-25,20,10,4.1,0,0,N,
C1107,남,41,제휴이벤트,스탠다드,2025-08-06,9,14,21.4,0,0,N,
C1108,남,43,검색광고,베이직,2023-07-09,35,12,21.9,2,0,N,
C1109,여,34,소셜미디어,베이직,2025-07-12,10,5,15.3,3,0,N,
C1110,남,36,검색광고,프리미엄,2024-01-27,28,13,7.9,1,0,N,
C1111,남,50,지인추천,스탠다드,2025-06-14,11,13,6.9,0,0,N,
C1112,남,38,소셜미디어,스탠다드,2024-11-13,18,16,15.9,0,0,N,
C1113,여,44,제휴이벤트,베이직,2023-06-28,35,12,10.4,0,0,N,
C1114,남,36,소셜미디어,스탠다드,2025-08-20,9,10,29.1,0,1,N,
C1115,여,34,지인추천,프리미엄,2024-03-03,27,8,15.6,1,1,N,
C1116,여,21,검색광고,스탠다드,2026-03-11,2,13,14.6,0,0,N,
C1117,여,19,검색광고,스탠다드,2025-11-11,6,12,42.8,0,0,N,
C1118,남,35,소셜미디어,스탠다드,2023-12-23,29,4,1.8,1,0,Y,2026-01-17
C1119,여,39,지인추천,베이직,2025-03-01,15,14,18.4,0,0,N,
C1120,여,23,소셜미디어,스탠다드,2024-06-20,23,1,2.5,2,1,Y,2026-05-07
C1121,여,38,제휴이벤트,프리미엄,2025-03-03,15,3,13.6,1,0,Y,2025-09-07
C1122,남,39,오프라인매장,베이직,2025-01-14,16,12,7.5,1,1,N,
C1123,남,19,제휴이벤트,베이직,2024-04-11,26,2,8.9,1,0,Y,2026-04-07
C1124,남,27,소셜미디어,베이직,2025-04-24,13,2,8.3,1,2,Y,2026-05-16
C1125,남,43,오프라인매장,베이직,2024-03-04,27,2,2.5,0,0,Y,2026-05-07
C1126,남,43,지인추천,프리미엄,2026-01-22,4,11,22.4,1,0,N,
C1127,남,24,지인추천,스탠다드,2026-03-05,2,18,13.8,0,2,N,
C1128,남,40,제휴이벤트,베이직,2023-11-24,30,3,9.8,1,0,Y,2026-05-07
C1129,여,50,오프라인매장,베이직,2025-07-15,10,16,13.3,1,0,N,
C1130,남,47,제휴이벤트,베이직,2026-02-14,3,16,22.5,0,0,N,
C1131,여,37,오프라인매장,베이직,2023-10-14,32,9,17.4,1,1,N,
C1132,여,32,검색광고,스탠다드,2025-07-27,10,14,22.4,1,1,N,
C1133,남,30,오프라인매장,프리미엄,2026-02-23,3,16,24.4,1,0,N,
C1134,여,44,지인추천,스탠다드,2024-01-26,28,14,16.5,2,0,N,
C1135,남,40,제휴이벤트,베이직,2025-02-10,15,4,6.0,0,0,Y,2026-05-05
C1136,여,46,제휴이벤트,스탠다드,2025-09-27,8,12,24.0,2,0,N,
C1137,남,40,검색광고,스탠다드,2024-05-21,24,13,13.9,1,0,N,
C1138,여,48,검색광고,베이직,2024-02-09,28,7,16.6,1,0,N,
C1139,남,39,검색광고,스탠다드,2024-07-27,22,13,37.2,0,0,N,
C1140,남,47,지인추천,스탠다드,2024-05-23,24,10,18.5,2,0,N,
C1141,남,48,검색광고,프리미엄,2025-07-12,10,13,26.4,1,0,N,
C1142,여,28,오프라인매장,베이직,2024-06-30,23,4,5.1,0,0,Y,2026-04-27
C1143,여,19,지인추천,베이직,2024-07-05,23,24,22.3,1,0,N,
C1144,남,57,제휴이벤트,스탠다드,2026-03-02,3,9,16.9,2,0,N,
C1145,남,41,소셜미디어,베이직,2025-02-06,15,15,15.3,0,0,N,
C1146,남,19,지인추천,베이직,2026-02-14,3,11,5.9,0,1,N,
C1147,여,29,검색광고,스탠다드,2025-06-26,11,16,10.5,1,0,N,
C1148,남,47,제휴이벤트,베이직,2025-12-29,5,9,5.4,0,1,N,
C1149,남,35,검색광고,스탠다드,2023-12-26,29,11,44.2,0,1,N,
C1150,여,32,검색광고,프리미엄,2026-02-24,3,3,6.9,0,1,Y,2026-04-30
C1151,여,55,검색광고,스탠다드,2026-03-02,3,15,18.5,0,0,N,
C1152,남,25,제휴이벤트,스탠다드,2023-07-14,35,8,28.7,1,0,N,
C1153,여,28,검색광고,스탠다드,2024-06-14,23,19,21.2,2,0,N,
C1154,남,41,지인추천,베이직,2024-08-14,21,10,15.2,1,0,N,
C1155,여,43,오프라인매장,베이직,2024-08-20,21,10,15.3,0,0,N,
C1156,남,44,오프라인매장,스탠다드,2025-09-06,8,3,4.0,0,0,Y,2026-04-14
C1157,여,49,검색광고,베이직,2025-06-13,11,9,23.2,1,0,N,
C1158,여,40,검색광고,베이직,2024-01-13,28,14,23.7,0,0,N,
C1159,여,44,소셜미디어,베이직,2025-03-10,14,2,7.5,1,1,Y,2026-03-11
C1160,남,35,검색광고,프리미엄,2026-04-03,1,8,17.1,1,0,N,
C1161,여,39,오프라인매장,베이직,2024-09-11,20,9,23.8,1,0,N,
C1162,남,39,소셜미디어,스탠다드,2026-02-13,3,13,9.9,0,2,N,
C1163,남,41,소셜미디어,베이직,2025-04-22,13,9,21.8,1,0,N,
C1164,여,47,검색광고,스탠다드,2026-02-10,3,7,38.2,1,0,N,
C1165,남,45,지인추천,베이직,2026-01-17,4,1,5.2,0,1,Y,2026-03-25
C1166,여,39,검색광고,베이직,2023-06-18,35,15,16.2,0,2,N,
C1167,여,28,오프라인매장,스탠다드,2025-09-30,8,3,13.3,2,0,Y,2026-04-02
C1168,남,39,검색광고,스탠다드,2023-12-19,29,9,18.7,1,0,N,
C1169,여,38,제휴이벤트,베이직,2025-10-25,7,17,27.4,0,0,N,
C1170,남,40,오프라인매장,베이직,2025-10-08,7,19,22.5,1,1,N,
C1171,여,64,검색광고,베이직,2024-03-02,27,13,23.4,1,1,N,
C1172,남,32,검색광고,베이직,2023-08-10,34,8,12.6,0,0,N,
C1173,여,43,소셜미디어,스탠다드,2024-08-20,21,2,5.0,1,1,Y,2025-08-31
C1174,남,51,검색광고,베이직,2024-04-18,25,13,25.6,1,0,N,
C1175,남,39,검색광고,스탠다드,2025-01-10,16,2,3.3,1,0,Y,2026-05-17
C1176,남,66,제휴이벤트,베이직,2023-08-27,33,13,16.6,1,0,N,
C1177,여,33,지인추천,스탠다드,2023-07-18,34,8,23.8,0,0,N,
C1178,여,42,검색광고,베이직,2024-09-08,21,1,6.5,1,2,Y,2026-05-11
C1179,여,28,지인추천,스탠다드,2025-08-28,9,11,17.2,0,0,N,
C1180,여,34,소셜미디어,베이직,2024-05-01,25,15,38.3,1,0,N,
C1181,여,41,제휴이벤트,프리미엄,2024-05-10,25,18,28.1,1,0,N,
C1182,여,48,검색광고,스탠다드,2023-11-22,30,10,35.2,0,1,N,
C1183,남,42,오프라인매장,프리미엄,2024-03-27,26,13,53.0,1,0,N,
C1184,여,53,오프라인매장,베이직,2024-04-14,25,12,33.7,1,2,N,
C1185,여,37,검색광고,베이직,2024-03-03,27,13,14.5,0,0,N,
C1186,남,34,검색광고,베이직,2024-06-01,24,9,11.4,0,1,N,
C1187,남,69,소셜미디어,베이직,2024-03-28,26,10,14.6,0,0,N,
C1188,여,43,제휴이벤트,스탠다드,2025-05-26,12,9,24.0,0,0,N,
C1189,남,29,지인추천,프리미엄,2024-05-25,24,20,15.4,0,2,N,
C1190,여,30,오프라인매장,스탠다드,2025-08-12,9,12,12.8,0,0,N,
C1191,남,27,오프라인매장,스탠다드,2025-03-06,15,9,37.3,0,1,N,
C1192,남,49,제휴이벤트,베이직,2025-04-13,13,14,15.1,0,0,N,
C1193,여,34,지인추천,베이직,2025-02-11,15,7,23.0,0,0,N,
C1194,남,40,지인추천,스탠다드,2026-02-07,3,2,9.1,0,1,Y,2026-04-04
