Lot_ID,Defect_Type,Defect_Count,Severity
LOT_202603_0002,Open defect,41,Medium
LOT_202603_0002,Overlay fail,29,Low
LOT_202603_0002,Overlay fail,29,Low
LOT_202603_0002,Thickness fail,44,High
LOT_202603_0003,CD outlier,7,High
LOT_202603_0003,Scratch,17,Medium
LOT_202603_0003,Thickness fail,21,Medium
LOT_202603_0003,Overlay fail,41,High
LOT_202603_0006,Pattern bridge,35,High
LOT_202603_0006,Pattern bridge,29,Low
LOT_202603_0009,Pattern bridge,38,Medium
LOT_202603_0009,Scratch,3,Medium
LOT_202603_0010,Thickness fail,30,High
LOT_202603_0010,Particle,40,Medium
LOT_202603_0010,Thickness fail,4,Medium
LOT_202603_0010,Open defect,12,Low
LOT_202603_0011,Scratch,40,High
LOT_202603_0011,Scratch,14,Low
LOT_202603_0011,Overlay fail,8,High
LOT_202603_0012,Overlay fail,28,Medium
LOT_202603_0017,Thickness fail,18,Low
LOT_202603_0017,Overlay fail,5,High
LOT_202603_0017,Thickness fail,15,Low
LOT_202603_0019,Scratch,29,Medium
LOT_202603_0023,Particle,9,Low
LOT_202603_0024,Pattern bridge,23,Medium
LOT_202603_0029,Particle,17,Medium
LOT_202603_0029,Scratch,31,Medium
LOT_202603_0030,Overlay fail,39,Low
LOT_202603_0031,Particle,42,Low
LOT_202603_0032,Open defect,40,Low
LOT_202603_0032,Overlay fail,35,Medium
LOT_202603_0032,Particle,29,Low
LOT_202603_0033,Overlay fail,30,Medium
LOT_202603_0033,Thickness fail,31,Medium
LOT_202603_0035,Pattern bridge,4,Medium
LOT_202603_0035,Overlay fail,29,High
LOT_202603_0036,Scratch,27,Low
LOT_202603_0036,Pattern bridge,8,Medium
LOT_202603_0039,Scratch,25,Medium
LOT_202603_0039,CD outlier,39,Medium
LOT_202603_0039,Open defect,3,Low
LOT_202603_0041,Open defect,32,Low
LOT_202603_0041,Pattern bridge,13,Low
LOT_202603_0043,Scratch,15,Low
LOT_202603_0044,Scratch,37,High
LOT_202603_0045,Pattern bridge,19,Low
LOT_202603_0045,Thickness fail,18,Medium
LOT_202603_0049,Overlay fail,37,Low
LOT_202603_0051,Thickness fail,43,Low
LOT_202603_0051,Thickness fail,9,Low
LOT_202603_0051,Pattern bridge,14,Low
LOT_202603_0052,Particle,39,High
LOT_202603_0052,Scratch,43,Medium
LOT_202603_0059,CD outlier,38,Low
LOT_202603_0061,Pattern bridge,3,Low
LOT_202603_0061,Pattern bridge,24,Medium
LOT_202603_0061,Overlay fail,39,Low
LOT_202603_0063,Overlay fail,20,Low
LOT_202603_0065,Scratch,23,Low
LOT_202603_0065,Open defect,41,Low
LOT_202603_0065,Overlay fail,28,Medium
LOT_202603_0066,Thickness fail,11,Low
LOT_202603_0067,Overlay fail,4,Medium
LOT_202603_0069,Pattern bridge,41,Low
LOT_202603_0070,Open defect,4,Low
LOT_202603_0070,Pattern bridge,39,Medium
LOT_202603_0070,Open defect,14,Medium
LOT_202603_0070,CD outlier,14,Low
LOT_202603_0071,Scratch,44,Low
LOT_202603_0072,Particle,7,High
LOT_202603_0072,Particle,35,Medium
LOT_202603_0072,Scratch,11,Low
LOT_202603_0072,Overlay fail,16,Low
LOT_202603_0073,Scratch,31,Medium
LOT_202603_0073,Open defect,20,Medium
LOT_202603_0073,Particle,41,Low
LOT_202603_0075,Scratch,44,Low
LOT_202603_0076,Scratch,20,High
LOT_202603_0078,Particle,40,Low
LOT_202603_0078,Thickness fail,16,Medium
LOT_202603_0081,Open defect,7,Low
LOT_202603_0081,Thickness fail,11,Low
LOT_202603_0081,Particle,5,Low
LOT_202603_0082,Pattern bridge,28,Low
LOT_202603_0082,CD outlier,11,Low
LOT_202603_0083,CD outlier,6,Low
LOT_202603_0084,Thickness fail,37,Medium
LOT_202603_0086,CD outlier,43,Medium
LOT_202603_0086,Thickness fail,4,Low
LOT_202603_0087,CD outlier,7,Low
LOT_202603_0095,Pattern bridge,15,Low
LOT_202603_0097,CD outlier,44,Medium
LOT_202603_0100,Scratch,20,Low
LOT_202603_0100,Open defect,24,Low
LOT_202603_0100,CD outlier,32,Medium
LOT_202603_0102,Open defect,42,High
LOT_202603_0110,Scratch,31,Low
LOT_202603_0110,Particle,35,Low
LOT_202603_0110,Pattern bridge,35,Low
LOT_202603_0114,Scratch,30,Low
LOT_202603_0116,CD outlier,17,High
LOT_202603_0116,Particle,25,Low
LOT_202603_0118,CD outlier,28,Low
LOT_202603_0119,Scratch,3,Low
LOT_202603_0121,CD outlier,40,Low
LOT_202603_0121,Scratch,29,Medium
LOT_202603_0122,Particle,31,Low
LOT_202603_0122,CD outlier,24,Medium
LOT_202603_0122,Scratch,41,High
LOT_202603_0124,Thickness fail,42,Low
LOT_202603_0131,Pattern bridge,36,Low
LOT_202603_0134,CD outlier,21,Low
LOT_202603_0134,Thickness fail,11,Low
LOT_202603_0134,Overlay fail,5,Low
LOT_202603_0134,CD outlier,6,Medium
LOT_202603_0135,Open defect,31,High
LOT_202603_0136,Particle,4,Low
LOT_202603_0136,Pattern bridge,24,Medium
LOT_202603_0137,Scratch,31,Low
LOT_202603_0137,CD outlier,17,Low
LOT_202603_0137,Scratch,43,Low
LOT_202603_0137,Scratch,34,Low
LOT_202603_0138,Thickness fail,4,Medium
LOT_202603_0138,Pattern bridge,42,Low
LOT_202603_0139,Scratch,16,Medium
LOT_202603_0139,Particle,5,Medium
LOT_202603_0139,Scratch,11,Medium
LOT_202603_0139,Overlay fail,3,Low
LOT_202603_0140,Pattern bridge,8,Medium
LOT_202603_0140,Open defect,38,Low
LOT_202603_0144,Open defect,41,Medium
LOT_202603_0145,CD outlier,25,High
LOT_202603_0145,Particle,23,High
LOT_202603_0145,Pattern bridge,29,Low
LOT_202603_0150,Thickness fail,13,Low
