Equipment_ID,Equipment_Type,Vendor,Line
EQP_LITHO_01,Lithography,Vendor_C,LINE_1
EQP_LITHO_02,Lithography,Vendor_A,LINE_2
EQP_LITHO_03,Lithography,Vendor_A,LINE_1
EQP_LITHO_04,Lithography,Vendor_C,LINE_1
EQP_ETCH_01,Etch,Vendor_C,LINE_3
EQP_ETCH_02,Etch,Vendor_C,LINE_2
EQP_ETCH_03,Etch,Vendor_B,LINE_2
EQP_ETCH_04,Etch,Vendor_C,LINE_2
EQP_DEP_01,Deposition,Vendor_B,LINE_1
EQP_DEP_02,Deposition,Vendor_B,LINE_2
EQP_DEP_03,Deposition,Vendor_C,LINE_3
EQP_CMP_01,CMP,Vendor_C,LINE_3
EQP_CMP_02,CMP,Vendor_C,LINE_3
EQP_CMP_03,CMP,Vendor_B,LINE_3
EQP_INSP_01,Inspection,Vendor_C,LINE_1
EQP_INSP_02,Inspection,Vendor_B,LINE_2
EQP_INSP_03,Inspection,Vendor_B,LINE_3
