Lot_ID,Inspection_Date,Good_Wafer_Qty,Yield_Rate,Defect_Density,Final_Judgment
LOT_202603_0001,2026-03-16,24,96.58,0.171,Pass
LOT_202603_0002,2026-03-25,22,91.07,0.3,Hold
LOT_202603_0003,2026-03-21,21,87.53,0.277,Hold
LOT_202603_0004,2026-03-09,24,97.08,0.214,Pass
LOT_202603_0005,2026-03-27,23,94.65,0.194,Pass
LOT_202603_0006,2026-03-11,22,93.48,0.18,Review
LOT_202603_0007,2026-03-25,23,95.61,0.196,Pass
LOT_202603_0008,2026-03-22,23,98.57,0.113,Pass
LOT_202603_0009,2026-03-19,23,92.01,0.316,Review
LOT_202603_0010,2026-03-23,22,90.51,0.245,Hold
LOT_202603_0011,2026-04-01,22,89.22,0.398,Hold
LOT_202603_0012,2026-03-16,23,96.64,0.157,Pass
LOT_202603_0013,2026-03-22,24,97.07,0.086,Pass
LOT_202603_0014,2026-03-23,24,96.81,0.196,Pass
LOT_202603_0015,2026-03-27,24,97.31,0.136,Pass
LOT_202603_0016,2026-03-24,24,98.82,0.188,Pass
LOT_202603_0017,2026-03-31,21,85.76,0.4,Hold
LOT_202603_0018,2026-03-31,23,94.82,0.098,Pass
LOT_202603_0019,2026-03-26,23,93.77,0.266,Review
LOT_202603_0020,2026-03-31,24,99.12,0.248,Pass
LOT_202603_0021,2026-03-08,24,99.5,0.18,Pass
LOT_202603_0022,2026-03-30,22,94.7,0.158,Pass
LOT_202603_0023,2026-03-24,24,96.89,0.203,Pass
LOT_202603_0024,2026-03-26,23,93.17,0.168,Review
LOT_202603_0025,2026-03-13,24,97.39,0.168,Pass
LOT_202603_0026,2026-03-18,23,95.62,0.116,Pass
LOT_202603_0027,2026-03-27,23,94.12,0.268,Pass
LOT_202603_0028,2026-03-04,23,95.26,0.201,Pass
LOT_202603_0029,2026-03-30,23,93.8,0.127,Review
LOT_202603_0030,2026-03-29,23,95.75,0.217,Pass
LOT_202603_0031,2026-03-06,23,93.34,0.156,Review
LOT_202603_0032,2026-03-20,21,86.45,0.363,Hold
LOT_202603_0033,2026-03-05,22,93.2,0.2,Review
LOT_202603_0034,2026-03-28,24,96.55,0.149,Pass
LOT_202603_0035,2026-03-22,22,89.56,0.271,Hold
LOT_202603_0036,2026-03-28,23,92.34,0.229,Review
LOT_202603_0037,2026-03-11,24,99.13,0.158,Pass
LOT_202603_0038,2026-03-18,24,97.08,0.18,Pass
LOT_202603_0039,2026-03-27,22,91.11,0.253,Hold
LOT_202603_0040,2026-03-04,24,96.45,0.08,Pass
LOT_202603_0041,2026-03-21,22,91.3,0.214,Hold
LOT_202603_0042,2026-03-13,24,97.26,0.197,Pass
LOT_202603_0043,2026-03-09,23,92.15,0.213,Review
LOT_202603_0044,2026-03-27,23,92.84,0.238,Review
LOT_202603_0045,2026-03-29,23,92.17,0.106,Review
LOT_202603_0046,2026-03-09,23,95.49,0.117,Pass
LOT_202603_0047,2026-03-17,23,95.72,0.079,Pass
LOT_202603_0048,2026-03-30,24,97.51,0.156,Pass
LOT_202603_0049,2026-03-21,24,96.54,0.136,Pass
LOT_202603_0050,2026-03-25,22,94.25,0.121,Pass
LOT_202603_0051,2026-03-08,21,90.47,0.238,Hold
LOT_202603_0052,2026-03-25,23,93.11,0.256,Review
LOT_202603_0053,2026-03-30,24,96.37,0.244,Pass
LOT_202603_0054,2026-03-20,23,95.57,0.1,Pass
LOT_202603_0055,2026-03-31,23,95.73,0.206,Pass
LOT_202603_0056,2026-03-11,24,97.61,0.199,Pass
LOT_202603_0057,2026-03-20,23,95.67,0.129,Pass
LOT_202603_0058,2026-03-20,24,96.36,0.168,Pass
LOT_202603_0059,2026-03-20,23,93.43,0.299,Review
LOT_202603_0060,2026-03-23,23,94.22,0.167,Pass
LOT_202603_0061,2026-03-10,22,89.08,0.319,Hold
LOT_202603_0062,2026-03-18,23,94.51,0.265,Pass
LOT_202603_0063,2026-03-19,23,95.41,0.18,Pass
LOT_202603_0064,2026-03-31,23,95.99,0.143,Pass
LOT_202603_0065,2026-03-29,22,90.85,0.182,Hold
LOT_202603_0066,2026-03-19,24,96.08,0.152,Pass
LOT_202603_0067,2026-03-25,23,93.58,0.307,Review
LOT_202603_0068,2026-03-11,24,97.78,0.099,Pass
LOT_202603_0069,2026-03-09,24,97.88,0.118,Pass
LOT_202603_0070,2026-03-05,22,89.91,0.246,Hold
LOT_202603_0071,2026-03-10,23,92.04,0.179,Review
LOT_202603_0072,2026-03-27,22,91.96,0.128,Hold
LOT_202603_0073,2026-03-29,22,90.73,0.224,Hold
LOT_202603_0074,2026-03-15,23,95.07,0.186,Pass
LOT_202603_0075,2026-03-27,22,92.1,0.261,Review
LOT_202603_0076,2026-03-08,23,92.1,0.269,Review
LOT_202603_0077,2026-03-09,24,96.46,0.108,Pass
LOT_202603_0078,2026-03-07,22,91.51,0.195,Hold
LOT_202603_0079,2026-03-24,24,96.83,0.135,Pass
LOT_202603_0080,2026-03-15,24,97.73,0.189,Pass
LOT_202603_0081,2026-04-01,22,90.93,0.211,Hold
LOT_202603_0082,2026-03-22,21,90.1,0.321,Hold
LOT_202603_0083,2026-03-30,24,97.99,0.162,Pass
LOT_202603_0084,2026-03-05,23,93.05,0.149,Review
LOT_202603_0085,2026-03-30,23,94.05,0.261,Pass
LOT_202603_0086,2026-03-08,23,94.51,0.355,Hold
LOT_202603_0087,2026-03-16,23,93.34,0.202,Review
LOT_202603_0088,2026-03-08,24,97.13,0.2,Pass
LOT_202603_0089,2026-03-21,23,95.32,0.115,Pass
LOT_202603_0090,2026-03-28,24,96.79,0.205,Pass
LOT_202603_0091,2026-03-19,23,94.65,0.225,Pass
LOT_202603_0092,2026-03-29,23,96.81,0.147,Pass
LOT_202603_0093,2026-03-06,22,94.87,0.159,Pass
LOT_202603_0094,2026-03-20,24,96.83,0.156,Pass
LOT_202603_0095,2026-04-01,23,93.56,0.308,Review
LOT_202603_0096,2026-04-01,24,97.22,0.117,Pass
LOT_202603_0097,2026-03-24,24,98.04,0.129,Pass
LOT_202603_0098,2026-03-28,23,96.12,0.201,Pass
LOT_202603_0099,2026-03-15,23,97.7,0.136,Pass
LOT_202603_0100,2026-03-21,22,91.52,0.295,Hold
LOT_202603_0101,2026-03-06,23,94.98,0.228,Pass
LOT_202603_0102,2026-04-01,24,97.01,0.144,Pass
LOT_202603_0103,2026-03-06,23,94.91,0.187,Pass
LOT_202603_0104,2026-03-07,23,95.49,0.114,Pass
LOT_202603_0105,2026-03-25,24,96.8,0.19,Pass
LOT_202603_0106,2026-03-14,24,96.98,0.168,Pass
LOT_202603_0107,2026-03-08,23,94.6,0.179,Pass
LOT_202603_0108,2026-03-16,24,98.19,0.134,Pass
LOT_202603_0109,2026-03-09,24,97.42,0.094,Pass
LOT_202603_0110,2026-03-04,22,89.87,0.279,Hold
LOT_202603_0111,2026-03-06,23,94.04,0.077,Pass
LOT_202603_0112,2026-03-13,23,96.27,0.147,Pass
LOT_202603_0113,2026-03-13,23,95.79,0.198,Pass
LOT_202603_0114,2026-03-14,23,92.86,0.267,Review
LOT_202603_0115,2026-03-18,23,95.92,0.238,Pass
LOT_202603_0116,2026-03-19,22,89.58,0.282,Hold
LOT_202603_0117,2026-03-16,23,95.88,0.134,Pass
LOT_202603_0118,2026-03-20,23,92.62,0.242,Review
LOT_202603_0119,2026-03-07,24,97.51,0.158,Pass
LOT_202603_0120,2026-03-24,23,95.38,0.097,Pass
LOT_202603_0121,2026-03-21,23,93.75,0.221,Review
LOT_202603_0122,2026-03-09,21,90.26,0.196,Hold
LOT_202603_0123,2026-03-27,23,98.6,0.079,Pass
LOT_202603_0124,2026-03-22,23,96.14,0.162,Pass
LOT_202603_0125,2026-03-31,24,97.88,0.15,Pass
LOT_202603_0126,2026-03-12,22,94.54,0.152,Pass
LOT_202603_0127,2026-03-30,24,98.32,0.176,Pass
LOT_202603_0128,2026-03-15,23,95.88,0.189,Pass
LOT_202603_0129,2026-03-31,23,94.74,0.169,Pass
LOT_202603_0130,2026-03-06,24,98.77,0.147,Pass
LOT_202603_0131,2026-03-24,24,96.32,0.184,Pass
LOT_202603_0132,2026-03-12,24,96.85,0.187,Pass
LOT_202603_0133,2026-03-10,24,98.48,0.172,Pass
LOT_202603_0134,2026-03-08,22,91.55,0.208,Hold
LOT_202603_0135,2026-04-01,22,93.04,0.27,Review
LOT_202603_0136,2026-03-25,22,91.55,0.289,Hold
LOT_202603_0137,2026-03-22,22,91.32,0.235,Hold
LOT_202603_0138,2026-03-19,23,93.37,0.302,Review
LOT_202603_0139,2026-03-17,22,91.68,0.197,Hold
LOT_202603_0140,2026-03-30,22,92.54,0.22,Review
LOT_202603_0141,2026-03-07,23,95.96,0.192,Pass
LOT_202603_0142,2026-03-30,24,97.92,0.169,Pass
LOT_202603_0143,2026-03-24,24,96.4,0.09,Pass
LOT_202603_0144,2026-03-30,23,92.43,0.219,Review
LOT_202603_0145,2026-03-07,22,90.82,0.215,Hold
LOT_202603_0146,2026-03-15,22,94.98,0.246,Pass
LOT_202603_0147,2026-03-08,24,96.18,0.2,Pass
LOT_202603_0148,2026-03-15,24,96.87,0.186,Pass
LOT_202603_0149,2026-03-28,23,98.33,0.065,Pass
LOT_202603_0150,2026-03-06,23,95.26,0.242,Pass
