Lot_ID,Process_Step,Equipment_ID,CD_Mean_nm,Overlay_nm,Film_Thickness_nm,Etch_Depth_nm,Metrology_Issue
LOT_202603_0001,Lithography,EQP_LITHO_03,38.16,2.28,102.34,56.71,Normal
LOT_202603_0001,Etch,EQP_ETCH_03,37.39,2.1,98.25,54.59,Normal
LOT_202603_0001,Deposition,EQP_DEP_03,38.53,2.77,98.79,60.74,Normal
LOT_202603_0001,CMP,EQP_CMP_01,39.47,2.08,104.31,57.09,Normal
LOT_202603_0002,Lithography,EQP_LITHO_04,39.52,4.05,102.6,60.34,Overlay shift
LOT_202603_0002,Etch,EQP_ETCH_01,39.32,2.0,104.03,58.2,Normal
LOT_202603_0002,Deposition,EQP_DEP_02,38.74,2.38,103.63,56.54,Thickness high
LOT_202603_0002,CMP,EQP_CMP_01,38.27,2.54,102.37,59.08,Normal
LOT_202603_0003,Lithography,EQP_LITHO_04,39.7,3.26,97.16,60.25,Overlay shift
LOT_202603_0003,Etch,EQP_ETCH_03,41.57,2.55,100.91,66.18,Etch drift
LOT_202603_0003,Deposition,EQP_DEP_03,40.02,3.11,101.49,58.89,Normal
LOT_202603_0003,CMP,EQP_CMP_01,38.4,2.46,101.11,57.68,Normal
LOT_202603_0004,Lithography,EQP_LITHO_02,38.58,1.72,96.52,55.08,Normal
LOT_202603_0004,Etch,EQP_ETCH_04,39.41,2.37,99.03,57.5,Normal
LOT_202603_0004,Deposition,EQP_DEP_01,39.15,2.23,97.32,59.37,Normal
LOT_202603_0004,CMP,EQP_CMP_01,39.21,2.42,101.68,56.78,Normal
LOT_202603_0005,Lithography,EQP_LITHO_02,39.85,2.24,101.78,59.1,Normal
LOT_202603_0005,Etch,EQP_ETCH_04,38.27,2.53,100.65,58.05,Normal
LOT_202603_0005,Deposition,EQP_DEP_02,38.93,2.26,107.14,58.87,Thickness high
LOT_202603_0005,CMP,EQP_CMP_03,39.35,2.63,104.6,59.61,Normal
LOT_202603_0006,Lithography,EQP_LITHO_04,37.67,2.34,103.62,58.94,Normal
LOT_202603_0006,Etch,EQP_ETCH_04,39.9,2.6,99.72,56.16,Normal
LOT_202603_0006,Deposition,EQP_DEP_03,38.85,1.92,98.84,58.88,Normal
LOT_202603_0006,CMP,EQP_CMP_02,40.17,2.48,97.61,58.67,Normal
LOT_202603_0007,Lithography,EQP_LITHO_03,39.84,2.03,99.73,58.02,Normal
LOT_202603_0007,Etch,EQP_ETCH_03,39.7,2.59,99.76,61.93,Etch drift
LOT_202603_0007,Deposition,EQP_DEP_02,38.43,1.36,101.18,58.51,Normal
LOT_202603_0007,CMP,EQP_CMP_02,38.01,1.51,96.95,59.89,Normal
LOT_202603_0008,Lithography,EQP_LITHO_02,38.61,3.45,98.87,58.28,Normal
LOT_202603_0008,Etch,EQP_ETCH_01,40.08,3.2,104.12,59.81,Normal
LOT_202603_0008,Deposition,EQP_DEP_03,39.72,2.57,101.56,57.17,Normal
LOT_202603_0008,CMP,EQP_CMP_01,38.43,2.3,99.66,57.32,Normal
LOT_202603_0009,Lithography,EQP_LITHO_03,39.49,2.73,100.18,60.22,Normal
LOT_202603_0009,Etch,EQP_ETCH_03,39.68,2.21,98.57,58.64,Etch drift
LOT_202603_0009,Deposition,EQP_DEP_03,39.13,2.56,103.72,56.38,Normal
