Lot_ID,Process_Seq,Process_Step,Equipment_ID,Recipe,Process_Date
LOT_202603_0001,1,Lithography,EQP_LITHO_03,RCP_LIT_01,2026-03-13
LOT_202603_0001,2,Etch,EQP_ETCH_03,RCP_ETC_02,2026-03-14
LOT_202603_0001,3,Deposition,EQP_DEP_03,RCP_DEP_01,2026-03-15
LOT_202603_0001,4,CMP,EQP_CMP_01,RCP_CMP_03,2026-03-16
LOT_202603_0001,5,Inspection,EQP_INSP_02,RCP_INS_02,2026-03-17
LOT_202603_0002,1,Lithography,EQP_LITHO_04,RCP_LIT_01,2026-03-20
LOT_202603_0002,2,Etch,EQP_ETCH_01,RCP_ETC_04,2026-03-21
LOT_202603_0002,3,Deposition,EQP_DEP_02,RCP_DEP_03,2026-03-22
LOT_202603_0002,4,CMP,EQP_CMP_01,RCP_CMP_01,2026-03-23
LOT_202603_0002,5,Inspection,EQP_INSP_02,RCP_INS_03,2026-03-24
LOT_202603_0003,1,Lithography,EQP_LITHO_04,RCP_LIT_02,2026-03-15
LOT_202603_0003,2,Etch,EQP_ETCH_03,RCP_ETC_01,2026-03-16
LOT_202603_0003,3,Deposition,EQP_DEP_03,RCP_DEP_02,2026-03-17
LOT_202603_0003,4,CMP,EQP_CMP_01,RCP_CMP_01,2026-03-18
LOT_202603_0003,5,Inspection,EQP_INSP_02,RCP_INS_04,2026-03-19
LOT_202603_0004,1,Lithography,EQP_LITHO_02,RCP_LIT_03,2026-03-03
LOT_202603_0004,2,Etch,EQP_ETCH_04,RCP_ETC_02,2026-03-04
LOT_202603_0004,3,Deposition,EQP_DEP_01,RCP_DEP_01,2026-03-05
LOT_202603_0004,4,CMP,EQP_CMP_01,RCP_CMP_01,2026-03-06
LOT_202603_0004,5,Inspection,EQP_INSP_02,RCP_INS_01,2026-03-07
LOT_202603_0005,1,Lithography,EQP_LITHO_02,RCP_LIT_04,2026-03-23
LOT_202603_0005,2,Etch,EQP_ETCH_04,RCP_ETC_02,2026-03-24
LOT_202603_0005,3,Deposition,EQP_DEP_02,RCP_DEP_02,2026-03-25
LOT_202603_0005,4,CMP,EQP_CMP_03,RCP_CMP_04,2026-03-26
LOT_202603_0005,5,Inspection,EQP_INSP_03,RCP_INS_01,2026-03-27
LOT_202603_0006,1,Lithography,EQP_LITHO_04,RCP_LIT_03,2026-03-08
LOT_202603_0006,2,Etch,EQP_ETCH_04,RCP_ETC_04,2026-03-09
LOT_202603_0006,3,Deposition,EQP_DEP_03,RCP_DEP_02,2026-03-10
LOT_202603_0006,4,CMP,EQP_CMP_02,RCP_CMP_04,2026-03-11
LOT_202603_0006,5,Inspection,EQP_INSP_03,RCP_INS_04,2026-03-12
LOT_202603_0007,1,Lithography,EQP_LITHO_03,RCP_LIT_01,2026-03-20
LOT_202603_0007,2,Etch,EQP_ETCH_03,RCP_ETC_03,2026-03-21
LOT_202603_0007,3,Deposition,EQP_DEP_02,RCP_DEP_01,2026-03-22
LOT_202603_0007,4,CMP,EQP_CMP_02,RCP_CMP_03,2026-03-23
LOT_202603_0007,5,Inspection,EQP_INSP_03,RCP_INS_04,2026-03-24
LOT_202603_0008,1,Lithography,EQP_LITHO_02,RCP_LIT_04,2026-03-16
LOT_202603_0008,2,Etch,EQP_ETCH_01,RCP_ETC_02,2026-03-17
LOT_202603_0008,3,Deposition,EQP_DEP_03,RCP_DEP_04,2026-03-18
LOT_202603_0008,4,CMP,EQP_CMP_01,RCP_CMP_04,2026-03-19
LOT_202603_0008,5,Inspection,EQP_INSP_01,RCP_INS_04,2026-03-20
LOT_202603_0009,1,Lithography,EQP_LITHO_03,RCP_LIT_02,2026-03-13
LOT_202603_0009,2,Etch,EQP_ETCH_03,RCP_ETC_02,2026-03-14
LOT_202603_0009,3,Deposition,EQP_DEP_03,RCP_DEP_03,2026-03-15
LOT_202603_0009,4,CMP,EQP_CMP_01,RCP_CMP_03,2026-03-16
LOT_202603_0009,5,Inspection,EQP_INSP_03,RCP_INS_01,2026-03-17
LOT_202603_0010,1,Lithography,EQP_LITHO_02,RCP_LIT_02,2026-03-18
LOT_202603_0010,2,Etch,EQP_ETCH_03,RCP_ETC_04,2026-03-19
LOT_202603_0010,3,Deposition,EQP_DEP_02,RCP_DEP_01,2026-03-20
LOT_202603_0010,4,CMP,EQP_CMP_02,RCP_CMP_04,2026-03-21
LOT_202603_0010,5,Inspection,EQP_INSP_01,RCP_INS_03,2026-03-22
LOT_202603_0011,1,Lithography,EQP_LITHO_04,RCP_LIT_01,2026-03-28
LOT_202603_0011,2,Etch,EQP_ETCH_03,RCP_ETC_02,2026-03-29
LOT_202603_0011,3,Deposition,EQP_DEP_03,RCP_DEP_03,2026-03-30
LOT_202603_0011,4,CMP,EQP_CMP_02,RCP_CMP_03,2026-03-31
LOT_202603_0011,5,Inspection,EQP_INSP_01,RCP_INS_01,2026-04-01
LOT_202603_0012,1,Lithography,EQP_LITHO_02,RCP_LIT_02,2026-03-10
LOT_202603_0012,2,Etch,EQP_ETCH_02,RCP_ETC_03,2026-03-11
